imo_code,name,definition,format
IMO1219,"Department onboard, coded",A code representing the onboard department to which the seafarer is assigned for the execution of their professional responsibilities.,an2
IMO1220,Additional person details,A text specifying supplementary information about the referenced person.,an..512
IMO1221,Healthcare provider’s email,The email address for the Healthcare provider.,an..50
IMO1222,Healthcare provider’s landline number,The landline telephone number for the Healthcare provider.,an..50
IMO1223,Healthcare provider’s mobile number,The mobile telephone number for the Healthcare provider.,an..50
IMO1224,Healthcare provider’s website,The official website of the Healthcare provider.,an..50
IMO1225,Issuing medical practitioner name,The full name of the medical practitioner authorized to issue the certificate.,an..256
IMO1226,Medical examination date,Date on which the medical examination was conducted.,an..35
IMO1227,STCW medical compliance indicator,A “yes/no” indicator specifying whether the seafarer meet the standards in STCW Code Section A-1/9.,n1
IMO1228,STCW medical compliance limitations description,Description of restrictions to STCW Code medical standards (if any).,an..512
IMO1229,Fit for navigational duties indicator,A “yes/no” indicator specifying whether the seafarer holds a valid medical certification to perform navigational duties.,n1
IMO1230,Navigational duties limitations description,Description of restrictions on performing navigational duties (if any).,an..512
IMO1231,Fit for safety function indicator,A “yes/no” indicator specifying whether the seafarer holds a valid medical certification confirming fitness to perform assigned safety-related duties.,n1
IMO1232,Office of exchange of origin identifier,The code identifying the office of exchange where the postal consignment is closed and where the CN37 delivery bill is issued.,an..6
IMO1233,Name of the office of exchange of origin,The name of the office of exchange of origin where the postal consignment is closed and where the CN37 delivery bill is issued.,an..70
IMO1234,Office of exchange of destination of the bill identifier,The code identifying the office of exchange where the postal consignment is destined and where the CN37 delivery bill is received.,an..6
IMO1235,Name of the office of exchange of destination,The name of the office of exchange of destination where the postal consignment is destined and where the CN37 delivery bill is received.,an..70
IMO1236,Certificate expiry date,The expiration date displayed on the person certificate.,an..35
IMO1237,Person certificate extended until date,The date until which the validity of the person certificate has been extended.,an..35
IMO1238,Person certificate place of issue,The name of the place or city where the certificate was issued.,an..256
IMO1239,Person certificate issuing entity country code,The code representing the country where the issuing entity of the person is located.,a2
IMO1240,Vaccine signature date,The date the vaccine was signed.,an..35
IMO1241,Vaccine certificate validity,The validity period of the vaccine certificate.,an..35
IMO1242,Healthcare provider’s city,The city of the place where the vaccination was given.,an..35
IMO1243,Responsible onboard ship officer family name,The last name of the responsible onboard ship officer.,an..70
IMO1244,Responsible onboard ship officer given name,The given name of the responsible onboard ship officer.,an..70
IMO1245,Safety function limitations description,Description of restrictions on performing safety functions (if any).,an..512
IMO1246,Seafarer declaration indicator,"The seafarer’s declaration on the medical examination, issued by the medical practitioner authorized to issue the certificate.",n1
IMO1247,Medical and further examination reference identifier,A reference identifier to any medical examinations or any other information.,an..512
